host,port,secure,anonymity,country_code,available,error_rate,average_response_time
1,15.188.180.168,80,0,H,US,1,0.5,0.18
2,176.9.75.42,3128,0,H,DE,1,0.5,0.19
3,176.9.119.170,3128,0,H,DE,1,0.5,0.19
4,198.50.163.192,3129,0,H,CA,1,0.0,0.19
5,198.50.163.192,3129,1,None,CA,1,0.0,0.19
6,144.217.101.245,3129,0,H,CA,1,0.0,0.19
7,144.217.101.245,3129,1,None,CA,1,0.0,0.19
8,88.198.24.108,3128,0,H,DE,1,0.5,0.2
9,201.217.49.2,80,0,H,PY,1,0.5,0.3
10,51.222.197.139,32769,1,None,GB,1,0.0,0.32
11,111.177.192.18,3256,0,H,CN,1,0.5,0.61
12,154.16.63.16,3128,0,H,GB,1,0.5,0.41
13,79.120.177.106,8080,0,T,HU,1,0.5,0.78
14,101.74.82.146,9999,0,H,CN,1,0.0,0.49
15,101.74.82.146,9999,1,None,CN,1,0.0,0.49
16,193.71.255.234,3128,0,T,NO,1,0.0,0.53
17,193.71.255.234,3128,1,None,NO,1,0.0,0.53
18,27.191.60.159,3256,0,H,CN,1,0.0,0.57
19,27.191.60.159,3256,1,None,CN,1,0.0,0.57
20,104.238.81.186,56220,0,H,US,1,0.0,0.61
21,104.238.81.186,56220,1,None,US,1,0.0,0.61
22,45.70.237.81,3128,0,T,--,1,0.0,0.71
23,45.70.237.81,3128,1,None,--,1,0.0,0.71
24,202.61.51.204,3128,0,H,PK,1,0.0,0.84
25,202.61.51.204,3128,1,None,PK,1,0.0,0.84
26,103.28.121.58,80,0,A,BD,1,0.0,0.93
27,103.28.121.58,80,1,None,BD,1,0.0,0.93
28,136.228.131.67,8080,0,T,US,1,0.0,0.93
29,136.228.131.67,8080,1,None,US,1,0.0,0.93
30,213.167.59.142,8080,0,T,RU,1,0.0,0.95
31,213.167.59.142,8080,1,None,RU,1,0.0,0.95
32,151.22.181.223,8080,0,T,IT,1,0.0,0.96
33,151.22.181.223,8080,1,None,IT,1,0.0,0.96
34,103.10.22.234,8080,0,T,MN,1,0.0,1.0
35,103.10.22.234,8080,1,None,MN,1,0.0,1.0
36,103.209.131.3,8080,0,T,ID,1,0.0,1.07
37,103.209.131.3,8080,1,None,ID,1,0.0,1.07
38,132.145.18.53,80,0,H,US,1,0.5,0.19
39,51.222.197.192,32769,1,None,GB,1,0.0,1.15
40,181.225.73.11,8080,0,T,CO,1,0.0,1.18
41,181.225.73.11,8080,1,None,CO,1,0.0,1.18
42,117.198.97.220,80,0,A,IN,1,0.5,1.59
43,138.68.60.8,3128,0,H,US,1,0.5,2.07
44,139.196.219.153,8080,0,A,CN,1,0.5,2.25
45,221.181.197.122,8090,0,H,CN,1,0.0,1.54
46,221.181.197.122,8090,1,None,CN,1,0.0,1.54
47,175.6.142.53,808,0,H,CN,1,0.67,0.4
48,115.77.191.25,9090,0,T,VN,1,0.0,1.73
49,115.77.191.25,9090,1,None,VN,1,0.0,1.73
50,139.5.132.245,8080,1,None,BD,1,0.33,1.84
51,14.140.131.82,3128,0,T,IN,1,0.25,0.5
52,14.140.131.82,3128,1,None,IN,1,0.25,0.5
53,103.150.61.197,8080,0,T,--,1,0.5,2.99
54,138.121.161.162,999,0,T,AR,1,0.5,3.0
55,129.146.180.91,3128,0,T,US,1,0.0,0.47
56,129.146.180.91,3128,1,None,US,1,0.0,0.47
57,113.161.130.101,8080,0,T,VN,1,0.0,2.27
58,113.161.130.101,8080,1,None,VN,1,0.0,2.27
59,185.48.149.60,8080,0,T,KZ,1,0.0,2.33
60,185.48.149.60,8080,1,None,KZ,1,0.0,2.33
61,123.200.6.226,8080,0,T,BD,1,0.0,1.73
62,123.200.6.226,8080,1,None,BD,1,0.0,1.73
63,128.199.202.122,8080,0,H,SG,1,0.5,0.36
64,106.14.248.241,8080,0,A,CN,1,0.67,1.73
65,154.0.154.80,8080,0,T,TZ,1,0.0,2.82
66,154.0.154.80,8080,1,None,TZ,1,0.0,2.82
